codigo_mcc,descripcion,descripcion_combinada,descripcion_usda,descripcion_irs,reportable_irs
3662,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3663,HOTELES EL PRESIDENTS,HOTELES EL PRESIDENTS,HOTELES EL PRESIDENTS,Hotels/Motels/Inns/Resorts,SÍ
3664,FLAG INN,FLAG INN,FLAG INN,Hotels/Motels/Inns/Resorts,SÍ
3665,HAMPTON INNS,HAMPTON INNS,HAMPTON INNS,Hotels/Motels/Inns/Resorts,SÍ
3666,STAKIS HOTELS,STAKIS HOTELS,STAKIS HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3667,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3668,MARITIM HOTELS,MARITIM HOTELS,MARITIM HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3669,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3670,ARCARD HOTELS,ARCARD HOTELS,ARCARD HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3671,ARCTIA HOTELS,ARCTIA HOTELS,ARCTIA HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3672,CAMPANIEL HOTELS,CAMPANIEL HOTELS,CAMPANIEL HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3673,IBUSZ HOTELS,IBUSZ HOTELS,IBUSZ HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3674,RANTASIPI HOTELS,RANTASIPI HOTELS,RANTASIPI HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3675,INTERHOTEL CEDOK,INTERHOTEL CEDOK,INTERHOTEL CEDOK,Hotels/Motels/Inns/Resorts,SÍ
3676,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3677,CLIMAT DE FRANCE HOTELS,CLIMAT DE FRANCE HOTELS,CLIMAT DE FRANCE HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3678,CUMULUS HOTELS,CUMULUS HOTELS,CUMULUS HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3679,DANUBIUS HOTEL,DANUBIUS HOTEL,DANUBIUS HOTEL,Hotels/Motels/Inns/Resorts,SÍ
3680,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3681,ADAMS MARK HOTELS,ADAMS MARK HOTELS,ADAMS MARK HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3682,ALLSTAR INNS,ALLSTAR INNS,ALLSTAR INNS,Hotels/Motels/Inns/Resorts,SÍ
3683,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3684,BUDGET HOST INNS,BUDGET HOST INNS,BUDGET HOST INNS,Hotels/Motels/Inns/Resorts,SÍ
3685,BUDGETEL HOTELS,BUDGETEL HOTELS,BUDGETEL HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3686,SUISSE CHALETS,SUISSE CHALETS,SUISSE CHALETS,Hotels/Motels/Inns/Resorts,SÍ
3687,CLARION HOTELS,CLARION HOTELS,CLARION HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3688,COMPRI HOTELS,COMPRI HOTELS,COMPRI HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3689,CONSORT HOTELS,CONSORT HOTELS,CONSORT HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3690,COURTYARD BY MARRIOTT,COURTYARD BY MARRIOTT,COURTYARD BY MARRIOTT,Hotels/Motels/Inns/Resorts,SÍ
3691,DILLION INNS,DILLION INNS,DILLION INNS,Hotels/Motels/Inns/Resorts,SÍ
3692,DOUBLETREE HOTELS,DOUBLETREE HOTELS,DOUBLETREE HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3693,DRURY INNS,DRURY INNS,DRURY INNS,Hotels/Motels/Inns/Resorts,SÍ
3694,ECONOMY INNS OF AMERICA,ECONOMY INNS OF AMERICA,ECONOMY INNS OF AMERICA,Hotels/Motels/Inns/Resorts,SÍ
3695,EMBASSY SUITES,EMBASSY SUITES,EMBASSY SUITES,Hotels/Motels/Inns/Resorts,SÍ
3696,EXEL INNS,EXEL INNS,EXEL INNS,Hotels/Motels/Inns/Resorts,SÍ
3697,FARFIELD HOTELS,FARFIELD HOTELS,FARFIELD HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3698,HARLEY HOTELS,HARLEY HOTELS,HARLEY HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3699,MIDWAY MOTOR LODGE,MIDWAY MOTOR LODGE,MIDWAY MOTOR LODGE,Hotels/Motels/Inns/Resorts,SÍ
3700,MOTEL 6,MOTEL 6,MOTEL 6,Hotels/Motels/Inns/Resorts,SÍ
3701,GUEST QUARTERS (Formally PICKETT SUITE HOTELS),GUEST QUARTERS (Formally PICKETT SUITE HOTELS),GUEST QUARTERS (Formally PICKETT SUITE HOTELS),Hotels/Motels/Inns/Resorts,SÍ
3702,THE REGISTRY HOTELS,THE REGISTRY HOTELS,THE REGISTRY HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3703,RESIDENCE INNS,RESIDENCE INNS,RESIDENCE INNS,Hotels/Motels/Inns/Resorts,SÍ
3704,ROYCE HOTELS,ROYCE HOTELS,ROYCE HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3705,SANDMAN INNS,SANDMAN INNS,SANDMAN INNS,Hotels/Motels/Inns/Resorts,SÍ
3706,SHILO INNS,SHILO INNS,SHILO INNS,Hotels/Motels/Inns/Resorts,SÍ
3707,SHONEY’S INNS,SHONEY’S INNS,SHONEY’S INNS,Hotels/Motels/Inns/Resorts,SÍ
3708,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3709,SUPER8 MOTELS,SUPER8 MOTELS,SUPER8 MOTELS,Hotels/Motels/Inns/Resorts,SÍ
3710,THE RITZ CARLTON HOTELS,THE RITZ CARLTON HOTELS,THE RITZ CARLTON HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3711,FLAG INNS (AUSRALIA),FLAG INNS (AUSRALIA),FLAG INNS (AUSRALIA),Hotels/Motels/Inns/Resorts,SÍ
3712,GOLDEN CHAIN HOTEL,GOLDEN CHAIN HOTEL,GOLDEN CHAIN HOTEL,Hotels/Motels/Inns/Resorts,SÍ
3713,QUALITY PACIFIC HOTEL,QUALITY PACIFIC HOTEL,QUALITY PACIFIC HOTEL,Hotels/Motels/Inns/Resorts,SÍ
3714,FOUR SEASONS HOTEL (AUSTRALIA),FOUR SEASONS HOTEL (AUSTRALIA),FOUR SEASONS HOTEL (AUSTRALIA),Hotels/Motels/Inns/Resorts,SÍ
3715,FARIFIELD INN,FARIFIELD INN,FARIFIELD INN,Hotels/Motels/Inns/Resorts,SÍ
3716,CARLTON HOTELS,CARLTON HOTELS,CARLTON HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3717,CITY LODGE HOTELS,CITY LODGE HOTELS,CITY LODGE HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3718,KAROS HOTELS,KAROS HOTELS,KAROS HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3719,PROTEA HOTELS,PROTEA HOTELS,PROTEA HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3720,SOUTHERN SUN HOTELS,SOUTHERN SUN HOTELS,SOUTHERN SUN HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3721,HILTON CONRAD,HILTON CONRAD,HILTON CONRAD,Hotels/Motels/Inns/Resorts,SÍ
3722,WYNDHAM HOTEL AND RESORTS,WYNDHAM HOTEL AND RESORTS,WYNDHAM HOTEL AND RESORTS,Hotels/Motels/Inns/Resorts,SÍ
3723,RICA HOTELS,RICA HOTELS,RICA HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3724,INER NOR HOTELS,INER NOR HOTELS,INER NOR HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3725,SEAINES PLANATION,SEAINES PLANATION,SEAINES PLANATION,Hotels/Motels/Inns/Resorts,SÍ
3726,RIO SUITES,RIO SUITES,RIO SUITES,Hotels/Motels/Inns/Resorts,SÍ
3727,BROADMOOR HOTEL,BROADMOOR HOTEL,BROADMOOR HOTEL,Hotels/Motels/Inns/Resorts,SÍ
3728,BALLY’S HOTEL AND CASINO,BALLY’S HOTEL AND CASINO,BALLY’S HOTEL AND CASINO,Hotels/Motels/Inns/Resorts,SÍ
3729,JOHN ASCUAGA’S NUGGET,JOHN ASCUAGA’S NUGGET,JOHN ASCUAGA’S NUGGET,Hotels/Motels/Inns/Resorts,SÍ
3730,MGM GRAND HOTEL,MGM GRAND HOTEL,MGM GRAND HOTEL,Hotels/Motels/Inns/Resorts,SÍ
3731,HARRAH’S HOTELS AND CASINOS,HARRAH’S HOTELS AND CASINOS,HARRAH’S HOTELS AND CASINOS,Hotels/Motels/Inns/Resorts,SÍ
3732,OPRYLAND HOTEL,OPRYLAND HOTEL,OPRYLAND HOTEL,Hotels/Motels/Inns/Resorts,SÍ
3733,BOCA RATON RESORT,BOCA RATON RESORT,BOCA RATON RESORT,Hotels/Motels/Inns/Resorts,SÍ
3734,HARVEY/BRISTOL HOTELS,HARVEY/BRISTOL HOTELS,HARVEY/BRISTOL HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3735,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3736,COLORADO BELLE/EDGEWATER RESORT,COLORADO BELLE/EDGEWATER RESORT,COLORADO BELLE/EDGEWATER RESORT,Hotels/Motels/Inns/Resorts,SÍ
3737,RIVIERA HOTEL AND CASINO,RIVIERA HOTEL AND CASINO,RIVIERA HOTEL AND CASINO,Hotels/Motels/Inns/Resorts,SÍ
3738,TROPICANA RESORT AND CASINO,TROPICANA RESORT AND CASINO,TROPICANA RESORT AND CASINO,Hotels/Motels/Inns/Resorts,SÍ
3739,WOODSIDE HOTELS AND RESORTS,WOODSIDE HOTELS AND RESORTS,WOODSIDE HOTELS AND RESORTS,Hotels/Motels/Inns/Resorts,SÍ
3740,TOWNPLACE SUITES,TOWNPLACE SUITES,TOWNPLACE SUITES,Hotels/Motels/Inns/Resorts,SÍ
3741,MILLENIUM BROADWAY HOTEL,MILLENIUM BROADWAY HOTEL,MILLENIUM BROADWAY HOTEL,Hotels/Motels/Inns/Resorts,SÍ
3742,CLUB MED,CLUB MED,CLUB MED,Hotels/Motels/Inns/Resorts,SÍ
3743,BILTMORE HOTEL AND SUITES,BILTMORE HOTEL AND SUITES,BILTMORE HOTEL AND SUITES,Hotels/Motels/Inns/Resorts,SÍ
3744,CAREFREE RESORTS,CAREFREE RESORTS,CAREFREE RESORTS,Hotels/Motels/Inns/Resorts,SÍ
3745,ST. REGIS HOTEL,ST. REGIS HOTEL,ST. REGIS HOTEL,Hotels/Motels/Inns/Resorts,SÍ
3746,THE ELIOT HOTEL,THE ELIOT HOTEL,THE ELIOT HOTEL,Hotels/Motels/Inns/Resorts,SÍ
3747,CLUBCORP/CLUB RESORTS,CLUBCORP/CLUB RESORTS,CLUBCORP/CLUB RESORTS,Hotels/Motels/Inns/Resorts,SÍ
3748,WELESLEY INNS,WELESLEY INNS,WELESLEY INNS,Hotels/Motels/Inns/Resorts,SÍ
3749,THE BEVERLY HILLS HOTEL,THE BEVERLY HILLS HOTEL,THE BEVERLY HILLS HOTEL,Hotels/Motels/Inns/Resorts,SÍ
3750,CROWNE PLAZA HOTELS,CROWNE PLAZA HOTELS,CROWNE PLAZA HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3751,HOMEWOOD SUITES,HOMEWOOD SUITES,HOMEWOOD SUITES,Hotels/Motels/Inns/Resorts,SÍ
3752,PEABODY HOTELS,PEABODY HOTELS,PEABODY HOTELS,Hotels/Motels/Inns/Resorts,SÍ
3753,GREENBRIAH RESORTS,GREENBRIAH RESORTS,GREENBRIAH RESORTS,Hotels/Motels/Inns/Resorts,SÍ
3754,AMELIA ISLAND PLANATION,AMELIA ISLAND PLANATION,AMELIA ISLAND PLANATION,Hotels/Motels/Inns/Resorts,SÍ
3755,THE HOMESTEAD,THE HOMESTEAD,THE HOMESTEAD,Hotels/Motels/Inns/Resorts,SÍ
3756,SOUTH SEAS RESORTS,SOUTH SEAS RESORTS,SOUTH SEAS RESORTS,Hotels/Motels/Inns/Resorts,SÍ
3757,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3758,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3759,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3760,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3761,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3762,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3763,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3764,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3765,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3766,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3767,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3768,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3769,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3770,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3771,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3772,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3773,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3774,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3775,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3776,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3777,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3778,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3779,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3780,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3781,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3782,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3783,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3784,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3785,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3786,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3787,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3788,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3789,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3790,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,SÍ
3816,Home2Suites,,,,
3835,* MASTERS ECONOMY INNS,* MASTERS ECONOMY INNS,* MASTERS ECONOMY INNS,,
4011,Railroads,Railroads,,Railroads,No1.6041-3(c)
4111,"Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.","Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.","Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.","Commuter Transport, Ferries",SÍ
4112,Passenger Railways,Passenger Railways,Passenger Railways,Passenger Railways,SÍ
4119,Ambulance Services,Ambulance Services,Ambulance Services,Ambulance Services,SÍ
4121,Taxicabs and Limousines,Taxicabs and Limousines,Taxicabs and Limousines,Taxicabs/Limousines,SÍ
4131,"Bus Lines, Including Charters, Tour Buses","Bus Lines, Including Charters, Tour Buses","Bus Lines, Including Charters, Tour Buses",Bus Lines,SÍ
4214,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local","Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",Motor Freight Carriers,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services",No1.6041-3(c)
4215,"Courier Services – Air or Ground, Freight forwarders","Courier Services – Air or Ground, Freight forwarders",Courier Services – Air or Ground,Courier Services,SÍ
4225,"Public warehousing, Storage","Public warehousing, Storage","Warehousing, Public","Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage",No1.6041-3(c)
4411,Cruise and Steamship Lines,Cruise and Steamship Lines,Cruise Lines,Cruise Lines,SÍ
4457,Boat Rentals and Leases,Boat Rentals and Leases,Boat Rentals and Leases,Boat Rentals and Leases,SÍ
4468,"Marinas, Marine Service, and Supplies","Marinas, Marine Service, and Supplies","Marinas, Marine Service, and Supplies","Marinas, Service and Supplies",SÍ
4511,"Airlines, Air Carriers ( not listed elsewhere)","Airlines, Air Carriers ( not listed elsewhere)","Airlines, Air Carriers ( not listed elsewhere)","Airlines, Air Carriers",SÍ
4582,"Airports, Airport Terminals, Flying Fields","Airports, Airport Terminals, Flying Fields","Airports, Airport Terminals","Airports, Flying Fields",SÍ
4722,Travel Agencies and Tour Operations,Travel Agencies and Tour Operations,Travel Agencies and Tour Operations,"Travel Agencies, Tour Operators",SÍ
4723,Package Tour Operators (For use in Germany only),Package Tour Operators (For use in Germany only),Package Tour Operators (For use in Germany only),TUI Travel - Germany,SÍ
4784,Toll and Bridge Fees,Toll and Bridge Fees,Toll and Bridge Fees,Tolls/Bridge Fees,No1.6041-3(c)
4789,"Transportation Services, Not elsewhere classified)","Transportation Services, Not elsewhere classified)","Transportation Services, Not elsewhere classified)",Transportation Services (Not Elsewhere Classified),SÍ
4812,Telecommunications Equipment including telephone sales,Telecommunications Equipment including telephone sales,Telecommunications Equipment including telephone sales,Telecommunication Equipment and Telephone Sales,No1.6041-3(c)
4814,"Fax services, Telecommunication Services","Fax services, Telecommunication Services",Fax services,Telecommunication Services,No1.6041-3(c)
4815,VisaPhone,VisaPhone,VisaPhone,,
4816,Computer Network Services,Computer Network Services,,Computer Network Services,No1.6041-3(c)
4821,Telegraph services,Telegraph services,Telegraph services,Telegraph Services,No1.6041-3(c)
4829,Money Orders – Wire Transfer,Money Orders – Wire Transfer,Money Orders – Wire Transfer,"Wires, Money Orders",No1.6041-3(c)
4899,Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services),"Cable, Satellite, and Other Pay Television and Radio",No1.6041-3(c)
4900,"Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities",Utilities,No1.6041-3(c)
5013,Motor vehicle supplies and new parts,Motor vehicle supplies and new parts,Motor vehicle supplies and new parts,Motor Vehicle Supplies and New Parts,No1.6041-3(c)
5021,Office and Commercial Furniture,Office and Commercial Furniture,Office and Commercial Furniture,Office and Commercial Furniture,No1.6041-3(c)
5039,"Construction Materials, Not Elsewhere Classified","Construction Materials, Not Elsewhere Classified","Construction Materials, Not Elsewhere Classified",Construction Materials (Not Elsewhere Classified),No1.6041-3(c)
5044,"Office, Photographic, Photocopy, and Microfilm Equipment","Office, Photographic, Photocopy, and Microfilm Equipment","Office, Photographic, Photocopy, and Microfilm Equipment","Photographic, Photocopy, Microfilm Equipment, and Supplies",No1.6041-3(c)
5045,"Computers, Computer Peripheral Equipment, Software","Computers, Computer Peripheral Equipment, Software","Computers, Computer Peripheral Equipment, Software","Computers, Peripherals, and Software",No1.6041-3(c)
5046,"Commercial Equipment, Not Elsewhere Classified","Commercial Equipment, Not Elsewhere Classified","Commercial Equipment, Not Elsewhere Classified",Commercial Equipment (Not Elsewhere Classified),No1.6041-3(c)
5047,"Medical, Dental Ophthalmic, Hospital Equipment and Supplies","Medical, Dental Ophthalmic, Hospital Equipment and Supplies","Medical, Dental Ophthalmic, Hospital Equipment and Supplies","Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies",No1.6041-3(c)
5051,Metal Service Centers and Offices,Metal Service Centers and Offices,Metal Service Centers and Offices,Metal Service Centers,No1.6041-3(c)
5065,Electrical Parts and Equipment,Electrical Parts and Equipment,Electrical Parts and Equipment,Electrical Parts and Equipment,No1.6041-3(c)
5072,Hardware Equipment and Supplies,Hardware Equipment and Supplies,Hardware Equipment and Supplies,"Hardware, Equipment, and Supplies",No1.6041-3(c)
5074,Plumbing and Heating Equipment and Supplies,Plumbing and Heating Equipment and Supplies,Plumbing and Heating Equipment and Supplies,"Plumbing, Heating Equipment, and Supplies",No1.6041-3(c)
5085,"Industrial Supplies, Not Elsewhere Classified","Industrial Supplies, Not Elsewhere Classified","Industrial Supplies, Not Elsewhere Classified",Industrial Supplies (Not Elsewhere Classified),No1.6041-3(c)
5094,"Precious Stones and Metals, Watches and Jewelry","Precious Stones and Metals, Watches and Jewelry","Precious Stones and Metals, Watches and Jewelry","Precious Stones and Metals, Watches and Jewelry",No1.6041-3(c)
5099,"Durable Goods, Not Elsewhere Classified","Durable Goods, Not Elsewhere Classified","Durable Goods, Not Elsewhere Classified",Durable Goods (Not Elsewhere Classified),No1.6041-3(c)
5111,"Stationery, Office Supplies, Printing, and Writing Paper","Stationery, Office Supplies, Printing, and Writing Paper","Stationery, Office Supplies, Printing, and Writing Paper","Stationary, Office Supplies, Printing and Writing Paper",No1.6041-3(c)
